0.0329,0.0020
0.0329,0.0220
0.0309,0.0099
0.0370,0.0180
0.0309,0.0150
0.0350,0.0199
0.0329,0.0199
0.0339,0.0239
0.0309,0.0059
0.0360,0.0109
0.0320,0.0130
0.0350,0.0160
0.0309,0.0160
0.0360,0.0209
0.0310,0.0220
0.0339,0.0230
0.0329,0.0109
0.0350,0.0150
0.0309,0.0150
0.0369,0.0199
0.0299,0.0189
0.0360,0.0230
0.0310,0.0220
0.0349,0.0249
0.0320,0.0109
0.0350,0.0139
0.0319,0.0169
0.0360,0.0199
0.0310,0.0199
0.0360,0.0260
0.0309,0.0079
0.0350,0.0109
0.0320,0.0130
0.0349,0.0179
0.0320,0.0180
0.0350,0.0210
0.0309,0.0209
0.0350,0.0240
0.0319,0.0109
0.0360,0.0139
0.0310,0.0120
0.0349,0.0169
0.0320,0.0179
0.0360,0.0239
0.0299,0.0209
0.0360,0.0269
0.0310,0.0060
0.0360,0.0150
0.0309,0.0169
0.0360,0.0199
0.0309,0.0199
0.0350,0.0239
0.0320,0.0120
0.0349,0.0119
0.0320,0.0130
0.0350,0.0199
0.0309,0.0160
0.0360,0.0230
0.0309,0.0199
0.0350,0.0249
0.0320,0.0120
0.0360,0.0150
0.0309,0.0149
0.0360,0.0179
0.0310,0.0190
0.0360,0.0260
0.0309,0.0079
0.0350,0.0120
0.0319,0.0139
0.0350,0.0190
0.0320,0.0150
0.0339,0.0220
0.0320,0.0210
0.0360,0.0270
0.0319,0.0130
0.0340,0.0130
0.0329,0.0169
0.0339,0.0190
0.0320,0.0199
0.0349,0.0249
0.0320,0.0239
0.0350,0.0120
0.0309,0.0119
0.0360,0.0179
0.0320,0.0169
0.0350,0.0220
0.0319,0.0219
0.0340,0.0260
0.0319,0.0119
0.0350,0.0150
0.0309,0.0149
0.0360,0.0199
0.0320,0.0190
0.0350,0.0230
0.0309,0.0239
0.0360,0.0279
0.0310,0.0120
0.0349,0.0149
0.0320,0.0180
0.0350,0.0220
0.0319,0.0209
0.0360,0.0260
0.0310,0.0099
0.0349,0.0130
0.0310,0.0120
0.0349,0.0169
0.0320,0.0139
0.0360,0.0239
0.0320,0.0240
0.0339,0.0250
0.0310,0.0090
0.0359,0.0149
0.0320,0.0149
0.0360,0.0209
0.0310,0.0220
0.0339,0.0239
0.0320,0.0240
0.0349,0.0249
0.0320,0.0130
0.0350,0.0160
0.0319,0.0160
0.0350,0.0199
0.0320,0.0220
0.0349,0.0249
0.0320,0.0239
0.0339,0.0149
0.0329,0.0129
0.0340,0.0190
0.0329,0.0210
0.0339,0.0230
0.0329,0.0260
0.0340,0.0270
0.0319,0.0130
0.0350,0.0160
0.0320,0.0170
0.0349,0.0219
0.0320,0.0220
0.0350,0.0260
0.0319,0.0269
0.0350,0.0150
0.0320,0.0160
0.0339,0.0190
0.0320,0.0199
0.0369,0.0239
0.0309,0.0239
0.0340,0.0280
0.0320,0.0130
0.0349,0.0160
0.0320,0.0160
0.0350,0.0210
0.0319,0.0219
0.0340,0.0250
0.0329,0.0260
0.0339,0.0290
0.0329,0.0139
0.0339,0.0179
0.0320,0.0190
0.0350,0.0220
0.0319,0.0230
0.0350,0.0260
0.0320,0.0269
0.0339,0.0139
0.0329,0.0169
0.0340,0.0180
0.0329,0.0210
0.0329,0.0220
0.0339,0.0250
0.0339,0.0249
0.0320,0.0120
0.0339,0.0160
0.0329,0.0179
0.0340,0.0199
0.0329,0.0220
0.0349,0.0249
0.0320,0.0269
0.0339,0.0289
0.0329,0.0149
0.0340,0.0190
0.0320,0.0180
0.0349,0.0230
0.0320,0.0230
0.0339,0.0269
0.0329,0.0119
0.0340,0.0140
0.0319,0.0160
0.0360,0.0209
0.0310,0.0199
0.0349,0.0249
0.0320,0.0239
0.0350,0.0270
0.0319,0.0119
0.0340,0.0150
0.0329,0.0190
0.0339,0.0199
0.0329,0.0220
0.0350,0.0260
0.0320,0.0110
0.0339,0.0150
0.0329,0.0169
0.0339,0.0199
0.0320,0.0190
0.0350,0.0240
0.0319,0.0230
0.0350,0.0280
0.0320,0.0120
0.0339,0.0150
0.0329,0.0169
0.0339,0.0189
0.0320,0.0199
0.0350,0.0250
0.0319,0.0249
0.0350,0.0279
0.0329,0.0160
0.0339,0.0189
0.0320,0.0190
0.0350,0.0220
0.0320,0.0240
0.0339,0.0269
0.0329,0.0280
0.0339,0.0139
0.0329,0.0160
0.0329,0.0189
0.0340,0.0210
0.0339,0.0230
0.0320,0.0250
0.0349,0.0279
0.0320,0.0139
0.0350,0.0180
0.0319,0.0189
0.0340,0.0210
0.0329,0.0230
0.0339,0.0249
0.0329,0.0279
0.0340,0.0150
0.0319,0.0149
0.0350,0.0180
0.0320,0.0199
0.0349,0.0230
0.0320,0.0250
0.0339,0.0269
0.0320,0.0120
0.0350,0.0160
0.0329,0.0180
0.0339,0.0199
0.0320,0.0210
0.0349,0.0239
0.0310,0.0239
0.0360,0.0290
0.0320,0.0130
0.0349,0.0179
0.0320,0.0190
0.0339,0.0209
0.0329,0.0239
0.0340,0.0260
0.0319,0.0269
0.0350,0.0150
0.0320,0.0160
0.0349,0.0189
0.0320,0.0199
0.0350,0.0240
0.0319,0.0249
0.0340,0.0269
0.0329,0.0139
0.0339,0.0169
0.0329,0.0190
0.0340,0.0210
0.0329,0.0230
0.0339,0.0250
0.0320,0.0099
0.0349,0.0139
0.0320,0.0139
0.0350,0.0180
0.0329,0.0199
0.0339,0.0239
0.0320,0.0230
0.0349,0.0279
0.0320,0.0130
0.0339,0.0149
0.0320,0.0169
0.0350,0.0190
0.0329,0.0230
0.0329,0.0230
0.0329,0.0250
0.0339,0.0130
0.0329,0.0139
0.0350,0.0180
0.0320,0.0190
0.0339,0.0209
0.0329,0.0239
0.0339,0.0249
0.0329,0.0130
0.0340,0.0150
0.0329,0.0160
0.0349,0.0189
0.0320,0.0209
0.0350,0.0250
0.0309,0.0239
0.0350,0.0269
0.0320,0.0140
0.0339,0.0160
0.0329,0.0180
0.0350,0.0220
0.0309,0.0220
0.0360,0.0260
0.0309,0.0260
0.0350,0.0139
0.0329,0.0150
0.0339,0.0179
0.0329,0.0199
0.0340,0.0220
0.0319,0.0219
0.0340,0.0260
0.0329,0.0110
0.0339,0.0139
0.0320,0.0160
0.0350,0.0190
0.0329,0.0210
0.0339,0.0230
0.0320,0.0240
0.0349,0.0290
0.0320,0.0139
0.0350,0.0170
0.0319,0.0179
0.0350,0.0220
0.0309,0.0199
0.0350,0.0250
0.0320,0.0099
0.0360,0.0140
0.0319,0.0149
0.0340,0.0169
0.0320,0.0180
0.0339,0.0220
0.0329,0.0230
0.0339,0.0260
0.0329,0.0119
0.0340,0.0150
0.0319,0.0160
0.0350,0.0190
0.0320,0.0199
0.0349,0.0230
0.0329,0.0249
0.0340,0.0280
0.0319,0.0119
0.0340,0.0139
0.0319,0.0159
0.0360,0.0219
0.0310,0.0230
0.0350,0.0250
0.0329,0.0120
0.0339,0.0150
0.0320,0.0140
0.0360,0.0200
0.0309,0.0190
0.0339,0.0219
0.0340,0.0250
0.0329,0.0270
0.0329,0.0110
0.0349,0.0149
0.0320,0.0169
0.0360,0.0209
0.0309,0.0209
0.0360,0.0249
0.0300,0.0060
0.0369,0.0130
0.0309,0.0139
0.0350,0.0160
0.0320,0.0160
0.0339,0.0190
0.0320,0.0220
0.0349,0.0260
0.0320,0.0079
0.0350,0.0130
0.0319,0.0139
0.0350,0.0179
0.0320,0.0180
0.0349,0.0219
0.0310,0.0060
0.0360,0.0120
0.0319,0.0119
0.0340,0.0160
0.0320,0.0150
0.0349,0.0209
0.0320,0.0190
0.0350,0.0260
0.0319,0.0109
0.0350,0.0139
0.0320,0.0140
